area_fips,own_code,industry_code,year,annual_avg_estabs,annual_avg_emplvl,total_annual_wages
1001,5,10,2005,814,9340,251414851
1003,5,10,2005,4714,47726,1283987773
1005,5,10,2005,562,9202,235251354
1007,5,10,2005,303,2728,74958790
1009,5,10,2005,743,6509,168413076
1011,5,10,2005,128,2370,59587379
1013,5,10,2005,475,5752,139414093
1015,5,10,2005,2445,36519,1007871389
1017,5,10,2005,565,9527,266927293
1019,5,10,2005,370,3980,98501198
1021,5,10,2005,758,6989,182245186
1023,5,10,2005,296,3335,149419888
1025,5,10,2005,676,7018,198002220
1027,5,10,2005,205,3607,97290789
1029,5,10,2005,174,1931,57592513
1031,5,10,2005,940,12055,296798030
1033,5,10,2005,1310,15847,476189297
1035,5,10,2005,246,3375,96834253
1037,5,10,2005,106,1202,37568083
1039,5,10,2005,905,11092,284707175
1041,5,10,2005,225,2647,65349626
1043,5,10,2005,1674,22624,665822162
1045,5,10,2005,805,12670,441279321
1047,5,10,2005,929,12810,366785637
1049,5,10,2005,1162,20483,555549494
1051,5,10,2005,1135,11972,341095916
1053,5,10,2005,794,9737,279327673
1055,5,10,2005,2124,31644,887583381
1057,5,10,2005,352,4155,117324328
1059,5,10,2005,570,9066,219248639
1061,5,10,2005,474,4332,93468094
1063,5,10,2005,140,1781,45866240
1065,5,10,2005,235,2523,63286585
1067,5,10,2005,308,3697,111277029
1069,5,10,2005,2891,40798,1268552124
1071,5,10,2005,839,13142,357140607
1073,5,10,2005,18201,314295,12950625503
1075,5,10,2005,250,3430,100968436
1077,5,10,2005,1905,23938,583510156
1079,5,10,2005,406,5027,202021750
1081,5,10,2005,2310,33938,865858645
1083,5,10,2005,1161,15895,622917132
1085,5,10,2005,163,2458,80125844
1087,5,10,2005,214,3710,88057325
1089,5,10,2005,7786,133081,5340734175
1091,5,10,2005,498,6287,185184906
1093,5,10,2005,569,10285,278162688
1095,5,10,2005,1839,31419,797319618
1097,5,10,2005,9451,139592,4605803890
1099,5,10,2005,443,7465,257114095
1101,5,10,2005,6240,102706,3380815594
1103,5,10,2005,2692,40871,1355465160
1105,5,10,2005,155,1663,39400644
1107,5,10,2005,336,3307,84734386
1109,5,10,2005,651,10775,286465626
1111,5,10,2005,391,4370,104843319
1113,5,10,2005,845,9834,288627090
1115,5,10,2005,1213,12459,327562971
1117,5,10,2005,4119,53863,2101403987
1119,5,10,2005,246,2495,65448205
1121,5,10,2005,1331,25379,908699611
1123,5,10,2005,825,12756,295164178
1125,5,10,2005,4125,61651,2107492695
1127,5,10,2005,1325,15228,414993312
1129,5,10,2005,227,3069,152936239
1131,5,10,2005,248,2395,86981306
1133,5,10,2005,487,7874,200774964
2013,5,10,2005,55,1547,46480028
2016,5,10,2005,141,3293,124605132
2020,5,10,2005,7736,114517,4675822523
2050,5,10,2005,239,3691,116905580
2060,5,10,2005,76,978,36804906
2068,5,10,2005,86,1812,57554773
2070,5,10,2005,104,1512,49332533
2090,5,10,2005,2140,26113,961198047
2100,5,10,2005,115,841,22649896
2110,5,10,2005,987,10131,320692174
2122,5,10,2005,1730,13196,440153280
2130,5,10,2005,544,4913,151295341
2150,5,10,2005,411,4001,133413741
2164,5,10,2005,61,286,9995567
2170,5,10,2005,1623,13443,395959143
2180,5,10,2005,180,1984,67319454
2185,5,10,2005,138,7487,552660936
2188,5,10,2005,81,1734,85735202
2201,5,10,2005,170,1161,30448995
2220,5,10,2005,352,3183,98425971
2232,5,10,2005,199,885,23150762
2240,5,10,2005,186,1710,82433837
2261,5,10,2005,433,3335,147967411
2270,5,10,2005,64,702,15459008
2280,5,10,2005,244,1600,42457326
2282,5,10,2005,36,186,4650930
2290,5,10,2005,121,950,33597587
4001,5,10,2005,446,6741,167045067
4003,5,10,2005,2152,24927,704604529
4005,5,10,2005,3380,42266,1145834699
4007,5,10,2005,991,9070,255951959
4009,5,10,2005,468,5554,149426317
4011,5,10,2005,89,3256,149004265
4012,5,10,2005,303,3736,79204809
4013,5,10,2005,84492,1512378,60801299385
4015,5,10,2005,3946,44679,1208983624
4017,5,10,2005,1728,17308,485183708
4019,5,10,2005,18333,284046,9757181503
4021,5,10,2005,2356,29605,885909976
4023,5,10,2005,1115,9590,254470518
4025,5,10,2005,5422,48501,1359265376
4027,5,10,2005,2882,51507,1263724978
5001,5,10,2005,602,8825,250477596
5003,5,10,2005,481,7081,263134574
5005,5,10,2005,1128,12785,334217229
5007,5,10,2005,4687,81761,3097711862
5009,5,10,2005,934,10999,317012256
5011,5,10,2005,316,3260,80171443
5013,5,10,2005,99,3344,120031192
5015,5,10,2005,760,8563,187352915
5017,5,10,2005,306,2558,56925780
5019,5,10,2005,563,7744,190596684
5021,5,10,2005,370,3741,80608163
5023,5,10,2005,633,5840,135721314
5025,5,10,2005,90,683,15648591
5027,5,10,2005,642,7638,220184065
5029,5,10,2005,442,5306,139154289
5031,5,10,2005,2460,34409,975874583
5033,5,10,2005,1100,16273,434149776
5035,5,10,2005,1061,12909,357199578
5037,5,10,2005,462,4091,101105869
5039,5,10,2005,248,2742,69806279
5041,5,10,2005,424,4063,109493101
5043,5,10,2005,445,4903,110562075
5045,5,10,2005,2204,29821,899044154
5047,5,10,2005,285,3359,82497191
5049,5,10,2005,183,1318,24296685
5051,5,10,2005,2967,31862,829036010
5053,5,10,2005,265,2607,68658748
5055,5,10,2005,823,13168,345501939
5057,5,10,2005,453,6768,171967222
5059,5,10,2005,571,6080,171099068
5061,5,10,2005,331,6776,174215801
5063,5,10,2005,853,14321,381851440
5065,5,10,2005,219,1927,43271465
5067,5,10,2005,470,4388,121446056
5069,5,10,2005,1689,26251,782792848
5071,5,10,2005,426,7401,174332496
5073,5,10,2005,140,1170,27508519
5075,5,10,2005,379,2998,68890498
5077,5,10,2005,202,1271,29011986
5079,5,10,2005,191,1643,39995361
5081,5,10,2005,221,3668,152472839
5083,5,10,2005,419,4445,105356473
5085,5,10,2005,1110,9039,229941144
5087,5,10,2005,223,2498,57583702
5089,5,10,2005,250,3394,74620973
5091,5,10,2005,787,10643,319019355
5093,5,10,2005,1053,15283,503917493
5095,5,10,2005,266,1993,39379198
5097,5,10,2005,157,1143,21854129
5099,5,10,2005,158,2104,58415279
5101,5,10,2005,111,0,0
5103,5,10,2005,581,5778,145627353
5105,5,10,2005,129,724,15904334
5107,5,10,2005,642,4878,118122293
5109,5,10,2005,242,2182,48612536
5111,5,10,2005,456,4933,127376355
5113,5,10,2005,494,5176,113443686
5115,5,10,2005,1580,22874,656942901
5117,5,10,2005,201,1175,26542077
5119,5,10,2005,13103,195250,6914048392
5121,5,10,2005,366,3931,84159233
5123,5,10,2005,572,6664,154460462
5125,5,10,2005,1529,15173,396642110
5127,5,10,2005,166,2497,54148955
5129,5,10,2005,129,1138,19209718
5131,5,10,2005,3462,66704,2120690317
5133,5,10,2005,299,4893,118157368
5135,5,10,2005,356,3075,62951704
5137,5,10,2005,225,2198,44270361
5139,5,10,2005,1261,17432,580650555
5141,5,10,2005,332,2967,60373663
5143,5,10,2005,5182,76801,2421480592
5145,5,10,2005,1460,20482,562176946
5147,5,10,2005,154,1508,40072323
5149,5,10,2005,357,5814,130132989
6001,5,10,2005,46254,565308,29376915510
6003,5,10,2005,44,637,14148496
6005,5,10,2005,994,7399,210712716
6007,5,10,2005,6983,60095,1691184608
6009,5,10,2005,1210,6712,177527129
6011,5,10,2005,795,6054,160547575
6013,5,10,2005,26478,292648,15123818884
6015,5,10,2005,739,4735,110912116
6017,5,10,2005,4479,41779,1428859090
6019,5,10,2005,27492,277788,8336295790
6021,5,10,2005,1054,5491,139155185
6023,5,10,2005,4743,36589,1012434956
6025,5,10,2005,5750,38446,921138156
6027,5,10,2005,607,4731,117001273
6029,5,10,2005,15452,211880,6614285890
6031,5,10,2005,3042,28233,748347409
6033,5,10,2005,2801,11092,305742495
6035,5,10,2005,652,4330,109889664
6037,5,10,2005,363494,3511503,160321994182
6039,5,10,2005,3246,34047,925317432
6041,5,10,2005,11181,95444,5078179461
6043,5,10,2005,508,3499,80586773
6045,5,10,2005,3895,25607,679619743
6047,5,10,2005,5289,54847,1541158159
6049,5,10,2005,340,1530,32528907
