area_fips,own_code,industry_code,year,annual_avg_estabs,annual_avg_emplvl,total_annual_wages
1000,5,11,2005,1614,13841,386194957
1000,5,21,2005,302,8054,475026734
1000,5,22,2005,372,12669,1019746498
1000,5,23,2005,11944,105757,3698897289
1000,5,31,2005,5712,297835,12108103059
1000,5,42,2005,9018,79159,3773244656
1000,5,44,2005,18894,236153,5318162235
1000,5,48,2005,3393,51233,1836216419
1000,5,51,2005,1834,31011,1426428086
1000,5,52,2005,6944,71856,3735844957
1000,5,53,2005,4348,24682,745298024
1000,5,54,2005,11151,90313,4867037194
1000,5,55,2005,681,12301,803895952
1000,5,56,2005,5257,105485,2312941821
1000,5,61,2005,780,16316,444622414
1000,5,62,2005,9346,178076,6493156236
1000,5,71,2005,1146,16478,261479864
1000,5,72,2005,7722,148145,1736609294
1000,5,81,2005,10165,48704,1205163919
1000,5,99,2005,0,0,0
2000,5,11,2005,143,1059,42536131
2000,5,21,2005,207,10518,1000119051
2000,5,22,2005,107,1842,112938344
2000,5,23,2005,2608,18486,1030793753
2000,5,31,2005,558,12548,450475895
2000,5,42,2005,750,6410,287957621
2000,5,44,2005,2494,35755,922647586
2000,5,48,2005,1088,19087,910082551
2000,5,51,2005,349,6903,334975306
2000,5,52,2005,769,8676,417233941
2000,5,53,2005,674,4988,150242523
2000,5,54,2005,1737,11626,602290559
2000,5,55,2005,67,1216,75186795
2000,5,56,2005,1055,11077,365754270
2000,5,61,2005,213,2064,61260843
2000,5,62,2005,1780,33627,1214200547
2000,5,71,2005,486,4228,66293379
2000,5,72,2005,1870,26690,471385491
2000,5,81,2005,1587,9316,263935586
2000,5,99,2005,198,325,9511101
4000,5,11,2005,1119,28980,606609442
4000,5,21,2005,181,8477,481003471
4000,5,22,2005,252,11782,858760484
4000,5,23,2005,14855,219234,8344764926
4000,5,31,2005,4880,182097,9945051784
4000,5,42,2005,11257,100070,5572745044
4000,5,44,2005,15042,307810,8459034589
4000,5,48,2005,2881,66710,2688017385
4000,5,51,2005,2217,45380,2176504350
4000,5,52,2005,7856,124870,7133897681
4000,5,53,2005,7000,49076,1961571021
4000,5,54,2005,17307,115879,6372232817
4000,5,55,2005,543,23304,1472959829
4000,5,56,2005,8563,228100,6306002938
4000,5,61,2005,1516,34292,1168724361
4000,5,62,2005,11473,234635,9561090298
4000,5,71,2005,1632,31367,902279492
4000,5,72,2005,8887,222081,3446586135
4000,5,81,2005,9476,66442,1748796923
4000,5,99,2005,8233,6959,260106021
5000,5,11,2005,2019,14154,375928412
5000,5,21,2005,326,4144,190404972
5000,5,22,2005,353,6610,419551909
5000,5,23,2005,7577,54638,1781270021
5000,5,31,2005,3571,201045,6877708169
5000,5,42,2005,6235,47601,2166329479
5000,5,44,2005,11322,131889,2647518102
5000,5,48,2005,2930,55678,1982764458
5000,5,51,2005,1208,20045,815751610
5000,5,52,2005,4567,36094,1542628596
5000,5,53,2005,3175,13685,356725983
5000,5,54,2005,6557,35604,1591612804
5000,5,55,2005,484,23550,1566915181
5000,5,56,2005,3373,52359,1023318137
5000,5,61,2005,541,8647,216420563
5000,5,62,2005,7759,132273,4282490431
5000,5,71,2005,906,9261,133113302
5000,5,72,2005,4997,84827,922758328
5000,5,81,2005,5537,25282,573358340
6000,5,11,2005,19156,380538,8132737770
6000,5,21,2005,781,22083,1973280668
6000,5,22,2005,1182,55742,4773174822
6000,5,23,2005,73338,900684,41128258484
6000,5,31,2005,47042,1498497,89543672219
6000,5,42,2005,57646,671375,37954032780
6000,5,44,2005,100120,1650052,48501633163
6000,5,48,2005,17983,413500,17203627454
6000,5,51,2005,19209,469991,39613263787
6000,5,52,2005,46184,640625,53950367705
6000,5,53,2005,43147,283520,12800452120
6000,5,54,2005,105685,958938,70663938929
6000,5,55,2005,4135,222957,17292347359
6000,5,56,2005,42702,955844,29130828587
6000,5,61,2005,9583,240010,8721340622
6000,5,62,2005,84243,1296611,56767127246
6000,5,71,2005,17338,237053,10428198787
6000,5,72,2005,64157,1226619,20677133886
6000,5,81,2005,391799,685603,16267890407
6000,5,99,2005,45732,67741,2799995608
8000,5,11,2005,1369,14960,365637734
8000,5,21,2005,1086,17007,1415154075
8000,5,22,2005,384,7949,570635377
