County Name,area_fips,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
PR Statewide,72000,3808605,3818774,3823701,3826095,3826878,3821362,3805214,3782995,3760866,3740410,3725789
.Adjuntas Municipio,72001,19129,19284,19402,19484,19568,19630,19620,19584,19546,19501,19483
.Aguada Municipio,72003,42074,42313,42455,42564,42664,42672,42571,42389,42219,42070,41959
.Aguadilla Municipio,72005,64733,64564,64412,64206,63962,63629,63129,62532,61913,61353,60949
.Aguas Buenas Municipio,72007,28644,28822,28925,29009,29078,29100,29036,28934,28815,28724,28659
.Aibonito Municipio,72009,26489,26574,26609,26617,26638,26570,26466,26312,26141,26007,25900
.Añasco Municipio,72011,28278,28551,28755,28931,29097,29231,29266,29253,29263,29259,29261
.Arecibo Municipio,72013,100136,100164,100116,100016,99879,99570,98999,98306,97576,96912,96440
.Arroyo Municipio,72015,19115,19278,19393,19513,19594,19663,19661,19630,19609,19588,19575
.Barceloneta Municipio,72017,22324,22758,23090,23413,23717,23989,24192,24339,24517,24693,24816
.Barranquitas Municipio,72019,28992,29337,29581,29805,30009,30185,30253,30262,30276,30303,30318
.Bayamón Municipio,72021,224175,223241,222385,221402,220293,218795,216776,214422,212006,209750,208116
.Cabo Rojo Municipio,72023,46906,47635,48188,48724,49238,49706,50005,50229,50482,50738,50917
.Caguas Municipio,72025,140526,141569,142305,142942,143533,143885,143848,143554,143299,143053,142893
.Camuy Municipio,72027,35242,35432,35544,35640,35722,35729,35655,35497,35380,35253,35159
.Canóvanas Municipio,72029,43386,44186,44763,45321,45875,46340,46673,46904,47165,47428,47648
.Carolina Municipio,72031,185529,185452,185178,184790,184329,183603,182346,180770,179239,177791,176762
.Cataño Municipio,72033,30071,30020,29931,29825,29713,29511,29260,28945,28647,28358,28140
.Cayey Municipio,72035,47364,47705,47953,48165,48356,48464,48445,48345,48248,48165,48119
.Ceiba Municipio,72037,17998,17530,17138,16752,16353,15907,15442,14957,14459,13987,13631
